film,year,award,winner,name,age
Tumbleweeds,2000,Best Actress,,Janet McTeer,38
The Cider House Rules,2000,Best Supporting Actor,winner,Michael Caine,67
The Green Mile,2000,Best Supporting Actor,,Michael Clarke Duncan,42
Magnolia,2000,Best Supporting Actor,,Tom Cruise,37
The Talented Mr. Ripley,2000,Best Supporting Actor,,Jude Law,27
The Sixth Sense,2000,Best Supporting Actor,,Haley Joel Osment,11
"Girl, Interrupted",2000,Best Supporting Actress,winner,Angelina Jolie,24
Being John Malkovich,2000,Best Supporting Actress,,Catherine Keener,41
The Sixth Sense,2000,Best Supporting Actress,,Toni Collette,27
Boys Don't Cry,2000,Best Supporting Actress,,Chlo Sevigny,25
Sweet and Lowdown,2000,Best Supporting Actress,,Samantha Morton,22
Gladiator,2001,Best Actor,winner,Russell Crowe,36
Pollock,2001,Best Actor,,Ed Harris,50
Quills,2001,Best Actor,,Geoffrey Rush,49
Cast Away,2001,Best Actor,,Tom Hanks,44
Before Night Falls,2001,Best Actor,,Javier Bardem,32
Erin Brockovich,2001,Best Actress,winner,Julia Roberts,33
Requiem for a Dream,2001,Best Actress,,Ellen Burstyn,68
The Contender,2001,Best Actress,,Joan Allen,44
You Can Count on Me,2001,Best Actress,,Laura Linney,37
Chocolat,2001,Best Actress,,Juliette Binoche,37
Traffic,2001,Best Supporting Actor,winner,Benicio Del Toro,34
Erin Brockovich,2001,Best Supporting Actor,,Albert Finney,64
The Contender,2001,Best Supporting Actor,,Jeff Bridges,51
Shadow of the Vampire,2001,Best Supporting Actor,,Willem Dafoe,45
Gladiator,2001,Best Supporting Actor,,Joaquin Phoenix,26
Pollock,2001,Best Supporting Actress,winner,Marcia Gay Harden,41
Chocolat,2001,Best Supporting Actress,,Judi Dench,66
Billy Elliot,2001,Best Supporting Actress,,Julie Walters,51
Almost Famous,2001,Best Supporting Actress,,Frances McDormand,43
Almost Famous,2001,Best Supporting Actress,,Kate Hudson,21
Training Day,2002,Best Actor,winner,Denzel Washington,47
In the Bedroom,2002,Best Actor,,Tom Wilkinson,54
I Am Sam,2002,Best Actor,,Sean Penn,41
A Beautiful Mind,2002,Best Actor,,Russell Crowe,37
Ali,2002,Best Actor,,Will Smith,33
Monster's Ball,2002,Best Actress,winner,Halle Berry,35
Iris,2002,Best Actress,,Judi Dench,67
In the Bedroom,2002,Best Actress,,Sissy Spacek,52
Moulin Rouge,2002,Best Actress,,Nicole Kidman,34
Bridget Jones's Diary,2002,Best Actress,,Ren_e Zellweger,32
Iris,2002,Best Supporting Actor,winner,Jim Broadbent,52
Ali,2002,Best Supporting Actor,,Jon Voight,63
The Lord of the Rings: The Fellowship of the Ring,2002,Best Supporting Actor,,Ian McKellen,62
Sexy Beast,2002,Best Supporting Actor,,Ben Kingsley,58
Training Day,2002,Best Supporting Actor,,Ethan Hawke,31
A Beautiful Mind,2002,Best Supporting Actress,winner,Jennifer Connelly,31
Gosford Park,2002,Best Supporting Actress,,Maggie Smith,67
Gosford Park,2002,Best Supporting Actress,,Helen Mirren,56
In the Bedroom,2002,Best Supporting Actress,,Marisa Tomei,37
Iris,2002,Best Supporting Actress,,Kate Winslet,26
The Pianist,2003,Best Actor,winner,Adrien Brody,29
The Quiet American,2003,Best Actor,,Michael Caine,70
About Schmidt,2003,Best Actor,,Jack Nicholson,65
Gangs of New York,2003,Best Actor,,Daniel Day-Lewis,45
Adaptation,2003,Best Actor,,Nicolas Cage,39
The Hours,2003,Best Actress,winner,Nicole Kidman,35
Far from Heaven,2003,Best Actress,,Julianne Moore,42
Unfaithful,2003,Best Actress,,Diane Lane,38
Frida,2003,Best Actress,,Salma Hayek,36
Chicago,2003,Best Actress,,Ren_e Zellweger,33
Adaptation,2003,Best Supporting Actor,winner,Chris Cooper,51
Road to Perdition,2003,Best Supporting Actor,,Paul Newman,78
Catch Me If You Can,2003,Best Supporting Actor,,Christopher Walken,60
The Hours,2003,Best Supporting Actor,,Ed Harris,52
Chicago,2003,Best Supporting Actor,,John C. Reilly,37
Chicago,2003,Best Supporting Actress,winner,Catherine Zeta-Jones,33
About Schmidt,2003,Best Supporting Actress,,Kathy Bates,54
Adaptation,2003,Best Supporting Actress,,Meryl Streep,53
The Hours,2003,Best Supporting Actress,,Julianne Moore,42
Chicago,2003,Best Supporting Actress,,Queen Latifah,33
Mystic River,2004,Best Actor,winner,Sean Penn,43
House of Sand and Fog,2004,Best Actor,,Ben Kingsley,60
Lost in Translation,2004,Best Actor,,Bill Murray,53
Pirates of the Caribbean: The Curse of the Black Pearl,2004,Best Actor,,Johnny Depp,40
Cold Mountain,2004,Best Actor,,Jude Law,31
Monster,2004,Best Actress,winner,Charlize Theron,28
Something's Gotta Give,2004,Best Actress,,Diane Keaton,58
21 Grams,2004,Best Actress,,Naomi Watts,35
In America,2004,Best Actress,,Samantha Morton,26
Whale Rider,2004,Best Actress,,Keisha Castle-Hughes,13
Mystic River,2004,Best Supporting Actor,winner,Tim Robbins,45
The Cooler,2004,Best Supporting Actor,,Alec Baldwin,45
The Last Samurai,2004,Best Supporting Actor,,Ken Watanabe,44
In America,2004,Best Supporting Actor,,Djimon Hounsou,39
21 Grams,2004,Best Supporting Actor,,Benicio Del Toro,37
Cold Mountain,2004,Best Supporting Actress,winner,Ren_e Zellweger,34
House of Sand and Fog,2004,Best Supporting Actress,,Shohreh Aghdashloo,51
Thirteen,2004,Best Supporting Actress,,Holly Hunter,45
Mystic River,2004,Best Supporting Actress,,Marcia Gay Harden,44
Pieces of April,2004,Best Supporting Actress,,Patricia Clarkson,44
Ray,2005,Best Actor,winner,Jamie Foxx,37
Million Dollar Baby,2005,Best Actor,,Clint Eastwood,74
Finding Neverland,2005,Best Actor,,Johnny Depp,41
Hotel Rwanda,2005,Best Actor,,Don Cheadle,40
The Aviator,2005,Best Actor,,Leonardo DiCaprio,30
Million Dollar Baby,2005,Best Actress,winner,Hilary Swank,30
Vera Drake,2005,Best Actress,,Imelda Staunton,49
Being Julia,2005,Best Actress,,Annette Bening,46
Eternal Sunshine of the Spotless Mind,2005,Best Actress,,Kate Winslet,29
Maria Full of Grace,2005,Best Actress,,Catalina Sandino Moreno,23
Million Dollar Baby,2005,Best Supporting Actor,winner,Morgan Freeman,67
The Aviator,2005,Best Supporting Actor,,Alan Alda,69
Sideways,2005,Best Supporting Actor,,Thomas Haden Church,44
Closer,2005,Best Supporting Actor,,Clive Owen,40
Collateral,2005,Best Supporting Actor,,Jamie Foxx,37
The Aviator,2005,Best Supporting Actress,winner,Cate Blanchett,35
Sideways,2005,Best Supporting Actress,,Virginia Madsen,43
Kinsey,2005,Best Supporting Actress,,Laura Linney,41
Hotel Rwanda,2005,Best Supporting Actress,,Sophie Okonedo,36
Closer,2005,Best Supporting Actress,,Natalie Portman,23
Capote,2006,Best Actor,winner,Philip Seymour Hoffman,38
"Good Night, and Good Luck.",2006,Best Actor,,David Strathairn,57
Hustle & Flow,2006,Best Actor,,Terrence Howard,37
Walk the Line,2006,Best Actor,,Joaquin Phoenix,31
Brokeback Mountain,2006,Best Actor,,Heath Ledger,26
Walk the Line,2006,Best Actress,winner,Reese Witherspoon,29
Mrs. Henderson Presents,2006,Best Actress,,Judi Dench,71
Transamerica,2006,Best Actress,,Felicity Huffman,43
North Country,2006,Best Actress,,Charlize Theron,30
Pride & Prejudice,2006,Best Actress,,Keira Knightley,20
Syriana,2006,Best Supporting Actor,winner,George Clooney,44
A History of Violence,2006,Best Supporting Actor,,William Hurt,55
Crash,2006,Best Supporting Actor,,Matt Dillon,42
Cinderella Man,2006,Best Supporting Actor,,Paul Giamatti,38
Brokeback Mountain,2006,Best Supporting Actor,,Jake Gyllenhaal,25
The Constant Gardener,2006,Best Supporting Actress,winner,Rachel Weisz,36
North Country,2006,Best Supporting Actress,,Frances McDormand,48
Capote,2006,Best Supporting Actress,,Catherine Keener,46
Junebug,2006,Best Supporting Actress,,Amy Adams,31
Brokeback Mountain,2006,Best Supporting Actress,,Michelle Williams,25
The Last King of Scotland,2007,Best Actor,winner,Forest Whitaker,45
Venus,2007,Best Actor,,Peter OToole,74
The Pursuit of Happyness,2007,Best Actor,,Will Smith,38
Blood Diamond,2007,Best Actor,,Leonardo DiCaprio,32
Half Nelson,2007,Best Actor,,Ryan Gosling,26
The Queen,2007,Best Actress,winner,Helen Mirren,61
Notes on a Scandal,2007,Best Actress,,Judi Dench,72
The Devil Wears Prada,2007,Best Actress,,Meryl Streep,57
Volver,2007,Best Actress,,Pen_lope Cruz,32
Little Children,2007,Best Actress,,Kate Winslet,31
Little Miss Sunshine,2007,Best Supporting Actor,winner,Alan Arkin,72
Dreamgirls,2007,Best Supporting Actor,,Eddie Murphy,45
Little Children,2007,Best Supporting Actor,,Jackie Earle Haley,45
Blood Diamond,2007,Best Supporting Actor,,Djimon Hounsou,42
The Departed,2007,Best Supporting Actor,,Mark Wahlberg,35
Dreamgirls,2007,Best Supporting Actress,winner,Jennifer Hudson,25
Babel,2007,Best Supporting Actress,,Adriana Barraza,51
Notes on a Scandal,2007,Best Supporting Actress,,Cate Blanchett,37
Babel,2007,Best Supporting Actress,,Rinko Kikuchi,26
Little Miss Sunshine,2007,Best Supporting Actress,,Abigail Breslin,10
There Will Be Blood,2008,Best Actor,winner,Daniel Day-Lewis,50
In the Valley of Elah,2008,Best Actor,,Tommy Lee Jones,61
Eastern Promises,2008,Best Actor,,Viggo Mortensen,49
Michael Clayton,2008,Best Actor,,George Clooney,46
Sweeney Todd: The Demon Barber of Fleet Street,2008,Best Actor,,Johnny Depp,44
La Vie en Rose,2008,Best Actress,winner,Marion Cotillard,32
Away from Her,2008,Best Actress,,Julie Christie,66
The Savages,2008,Best Actress,,Laura Linney,44
Elizabeth: The Golden Age,2008,Best Actress,,Cate Blanchett,38
Juno,2008,Best Actress,,Ellen Page,21
No Country for Old Men,2008,Best Supporting Actor,winner,Javier Bardem,39
Into the Wild,2008,Best Supporting Actor,,Hal Holbrook,83
Michael Clayton,2008,Best Supporting Actor,,Tom Wilkinson,60
Charlie Wilson's War,2008,Best Supporting Actor,,Philip Seymour Hoffman,40
The Assassination of Jesse James by the Coward Robert Ford,2008,Best Supporting Actor,,Casey Affleck,32
Michael Clayton,2008,Best Supporting Actress,winner,Tilda Swinton,47
American Gangster,2008,Best Supporting Actress,,Ruby Dee,85
I'm Not There,2008,Best Supporting Actress,,Cate Blanchett,38
Gone Baby Gone,2008,Best Supporting Actress,,Amy Ryan,38
Atonement,2008,Best Supporting Actress,,Saoirse Ronan,13
Crazy Heart,2010,Best Actor,winner,Jeff Bridges,59
Milk,2009,Best Actor,winner,Sean Penn,48
Frost/Nixon,2009,Best Actor,,Frank Langella,71
The Visitor,2009,Best Actor,,Richard Jenkins,61
The Wrestler,2009,Best Actor,,Mickey Rourke,56
The Curious Case of Benjamin Button,2009,Best Actor,,Brad Pitt,45
The Reader,2009,Best Actress,winner,Kate Winslet,33
Doubt,2009,Best Actress,,Meryl Streep,59
Frozen River,2009,Best Actress,,Melissa Leo,48
Changeling,2009,Best Actress,,Angelina Jolie,33
Rachel Getting Married,2009,Best Actress,,Anne Hathaway,26
The Dark Knight,2009,Best Supporting Actor,winner,Heath Ledger,29
Tropic Thunder,2009,Best Supporting Actor,,"Robert Downey, Jr.",43
Doubt,2009,Best Supporting Actor,,Philip Seymour Hoffman,41
Milk,2009,Best Supporting Actor,,Josh Brolin,41
Revolutionary Road,2009,Best Supporting Actor,,Michael Shannon,34
Vicky Cristina Barcelona,2009,Best Supporting Actress,winner,Pen_lope Cruz,34
The Wrestler,2009,Best Supporting Actress,,Marisa Tomei,44
Doubt,2009,Best Supporting Actress,,Viola Davis,43
The Curious Case of Benjamin Button,2009,Best Supporting Actress,,Taraji P. Henson,38
Doubt,2009,Best Supporting Actress,,Amy Adams,34
Invictus,2010,Best Actor,,Morgan Freeman,72
A Single Man,2010,Best Actor,,Colin Firth,49
Up in the Air,2010,Best Actor,,George Clooney,48
The Hurt Locker,2010,Best Actor,,Jeremy Renner,39
The Blind Side,2010,Best Actress,winner,Sandra Bullock,45
The Last Station,2010,Best Actress,,Helen Mirren,64
Julie & Julia,2010,Best Actress,,Meryl Streep,60
Precious,2010,Best Actress,,Gabourey Sidibe,26
An Education,2010,Best Actress,,Carey Mulligan,24
Inglourious Basterds,2010,Best Supporting Actor,winner,Christoph Waltz,53
The Last Station,2010,Best Supporting Actor,,Christopher Plummer,80
The Lovely Bones,2010,Best Supporting Actor,,Stanley Tucci,49
The Messenger,2010,Best Supporting Actor,,Woody Harrelson,48
Invictus,2010,Best Supporting Actor,,Matt Damon,39
Precious,2010,Best Supporting Actress,winner,Mo'Nique,42
Up in the Air,2010,Best Supporting Actress,,Vera Farmiga,36
Nine,2010,Best Supporting Actress,,Pen_lope Cruz,35
Crazy Heart,2010,Best Supporting Actress,,Maggie Gyllenhaal,32
Up in the Air,2010,Best Supporting Actress,,Anna Kendrick,24
The King's Speech,2011,Best Actor,winner,Colin Firth,50
True Grit,2011,Best Actor,,Jeff Bridges,61
Biutiful,2011,Best Actor,,Javier Bardem,42
Aron Ralston,2011,Best Actor,,James Franco,32
The Social Network,2011,Best Actor,,Jesse Eisenberg,27
Black Swan,2011,Best Actress,winner,Natalie Portman,29
The Kids Are All Right,2011,Best Actress,,Annette Bening,52
Rabbit Hole,2011,Best Actress,,Nicole Kidman,43
Blue Valentine,2011,Best Actress,,Michelle Williams,30
Winter's Bone,2011,Best Actress,,Jennifer Lawrence,20
The Fighter,2011,Best Supporting Actor,winner,Christian Bale,37
The King's Speech,2011,Best Supporting Actor,,Geoffrey Rush,59
Winter's Bone,2011,Best Supporting Actor,,John Hawkes,51
The Kids Are All Right,2011,Best Supporting Actor,,Mark Ruffalo,43
The Town,2011,Best Supporting Actor,,Jeremy Renner,40
The Fighter,2011,Best Supporting Actress,winner,Melissa Leo,50
Animal Kingdom,2011,Best Supporting Actress,,Jacki Weaver,63
The King's Speech,2011,Best Supporting Actress,,Helena Bonham Carter,44
The Fighter,2011,Best Supporting Actress,,Amy Adams,36
True Grit,2011,Best Supporting Actress,,Hailee Steinfeld,14
The Artist,2012,Best Actor,winner,Jean Dujardin,39
Tinker Tailor Soldier Spy,2012,Best Actor,,Gary Oldman,53
The Descendants,2012,Best Actor,,George Clooney,50
A Better Life,2012,Best Actor,,Demin Bichir,48
Moneyball,2012,Best Actor,,Brad Pitt,48
The Iron Lady,2012,Best Actress,winner,Meryl Streep,62
Albert Nobbs,2012,Best Actress,,Glenn Close,64
The Help,2012,Best Actress,,Viola Davis,46
My Week with Marilyn,2012,Best Actress,,Michelle Williams,31
The Girl with the Dragon Tattoo,2012,Best Actress,,Rooney Mara,26
Beginners,2012,Best Supporting Actor,winner,Christopher Plummer,82
Extremely Loud and Incredibly Close,2012,Best Supporting Actor,,Max von Sydow,82
Warrior,2012,Best Supporting Actor,,Nick Nolte,71
My Week with Marilyn,2012,Best Supporting Actor,,Kenneth Branagh,51
Moneyball,2012,Best Supporting Actor,,Jonah Hill,28
The Help,2012,Best Supporting Actress,winner,Octavia Spencer,41
Albert Nobbs,2012,Best Supporting Actress,,Janet McTeer,50
Bridesmaids,2012,Best Supporting Actress,,Melissa McCarthy,41
The Artist,2012,Best Supporting Actress,,Berenice Bejo,35
The Help,2012,Best Supporting Actress,,Jessica Chastain,34
Flight,2013,Best Actor,,Denzel Washington,58
Lincoln,2013,Best Actor,winner,Daniel Day-Lewis,55
Les Mis_rables,2013,Best Actor,,Hugh Jackman,44
The Master,2013,Best Actor,,Joaquin Phoenix,38
Silver Linings Playbook,2013,Best Actor,,Bradley Cooper,38
Amour,2013,Best Actress,,Emmanuelle Riva,86
The Impossible,2013,Best Actress,,Naomi Watts,44
Zero Dark Thirty,2013,Best Actress,,Jessica Chastain,35
Silver Linings Playbook,2013,Best Actress,winner,Jennifer Lawrence,22
Beasts of the Southern Wild,2013,Best Actress,,Quvenzhane Wallis,9
Argo,2013,Best Supporting Actor,,Alan Arkin,78
Silver Linings Playbook,2013,Best Supporting Actor,,Robert De Niro,69
Lincoln,2013,Best Supporting Actor,,Tommy Lee Jones,66
Django Unchained,2013,Best Supporting Actor,winner,Christoph Waltz,56
The Master,2013,Best Supporting Actor,,Philip Seymour Hoffman,45
Lincoln,2013,Best Supporting Actress,,Sally Field,66
Silver Linings Playbook,2013,Best Supporting Actress,,Jacki Weaver,65
The Sessions,2013,Best Supporting Actress,,Helen Hunt,49
The Master,2013,Best Supporting Actress,,Amy Adams,38
Les Miserables,2013,Best Supporting Actress,winner,Anne Hathaway,30
American Hustle,2014,Best Actor,,Christian Bale,40
12 Years a Slave,2014,Best Actor,,Chiwetel Ejiofor,36
Nebraska,2014,Best Actor,,Bruce Dern,77
The Wolf of Wall Street,2014,Best Actor,,Leonardo DiCaprio,39
Dallas Buyers Club,2014,Best Actor,winner,Matthew McConaughey,44
American Hustle,2014,Best Actress,,Amy Adams,39
Blue Jasmine,2014,Best Actress,winner,Cate Blanchett,44
Gravity,2014,Best Actress,,Sandra Bullock,49
Philomena,2014,Best Actress,,Judi Dench,79
August: Osage County,2014,Best Actress,,Meryl Streep,64
Captain Phillips,2014,Best Supporting Actor,,Barkhad Abdi,28
American Hustle,2014,Best Supporting Actor,,Bradley Cooper,39
12 Years a Slave,2014,Best Supporting Actor,,Michael Fassbender,36
The Wolf of Wall Street,2014,Best Supporting Actor,,Jonah Hill,30
Dallas Buyers Club,2014,Best Supporting Actor,winner,Jared Leto,42
Blue Jasmine,2014,Best Supporting Actress,,Sally Hawkins,37
American Hustle,2014,Best Supporting Actress,,Jennifer Lawrence,23
12 Years a Slave,2014,Best Supporting Actress,winner,Lupita Nyong'o,30
August: Osage County,2014,Best Supporting Actress,,Julia Roberts,46
Nebraska,2014,Best Supporting Actress,,June Squibb,84
