film,year,award,winner,name,age
On the Waterfront,1955,Best Actor,winner,Marlon Brando,31
The Caine Mutiny,1955,Best Actor,,Humphrey Bogart,55
The Country Girl,1955,Best Actor,,Bing Crosby,51
A Star Is Born,1955,Best Actor,,James Mason,45
Adventures of Robinson Crusoe,1955,Best Actor,,Dan O'Herlihy,35
The Country Girl,1955,Best Actress,winner,Grace Kelly,25
Magnificent Obsession,1955,Best Actress,,Jane Wyman,38
A Star Is Born,1955,Best Actress,,Judy Garland,32
Carmen Jones,1955,Best Actress,,Dorothy Dandridge,32
Sabrina,1955,Best Actress,,Audrey Hepburn,25
The Barefoot Contessa,1955,Best Supporting Actor,winner,Edmond O'Brien,39
The Caine Mutiny,1955,Best Supporting Actor,,Tom Tully,46
On the Waterfront,1955,Best Supporting Actor,,Lee J. Cobb,43
On the Waterfront,1955,Best Supporting Actor,,Karl Malden,43
On the Waterfront,1955,Best Supporting Actor,,Rod Steiger,29
On the Waterfront,1955,Best Supporting Actress,winner,Eva Marie Saint,30
